Date,Close,TWD,TAIEX,SOX,TAIBOR,DIJA
2010-04-22,61.6,31.39,7978.69,398.94,0.24,11134.29
2010-04-23,61.7,31.34,8004.89,400.42,0.24,11204.28
2010-04-26,63.5,31.31,8158.14,400.81,0.24,11205.03
2010-04-27,63.7,31.34,8146.44,386.78,0.25,10991.99
2010-04-28,62.1,31.41,8081.55,388.63,0.24,11045.27
2010-04-29,61.6,31.3,8054.05,393.97,0.25,11167.32
2010-04-30,61.8,31.31,8004.25,376.07,0.25,11008.61
2010-05-03,61.6,31.4,7952.17,385.97,0.25,11151.83
2010-05-04,61,31.48,7930.77,368.48,0.25,10926.77
2010-05-05,59.8,31.58,7696.9,364.54,0.25,10868.12
2010-05-06,59.5,31.77,7579.48,352.54,0.25,10520.32
2010-05-07,59.4,31.77,7567.1,346.75,0.25,10380.43
2010-05-10,59.8,31.56,7664.73,367.48,0.25,10785.14
2010-05-11,60.1,31.62,7608.44,364.73,0.25,10748.26
2010-05-12,60.1,31.63,7602.7,375.08,0.25,10896.91
2010-05-13,61.2,31.7,7770.57,364.96,0.25,10782.95
2010-05-14,61.2,31.76,7772.13,353.86,0.25,10620.16
2010-05-17,59.2,31.8,7598.72,359.39,0.25,10625.83
2010-05-18,59.5,31.83,7585.3,348.85,0.25,10510.95
2010-05-19,59.3,32.03,7559.16,350.84,0.25,10444.37
2010-05-20,58.9,32.1,7424.43,340.6,0.25,10068.01
2010-05-21,58.8,32.15,7237.71,349.11,0.26,10193.39
2010-05-24,59,32.1,7322.73,342.54,0.26,10066.57
2010-05-25,58.4,32.33,7086.37,344.51,0.26,10043.75
2010-05-26,58.9,32.18,7167.35,343.78,0.26,9974.45
2010-05-27,58.7,32.03,7243.16,361.55,0.26,10258.99
2010-05-28,58.7,32,7295.32,355.66,0.26,10136.63
2010-05-31,60.2,31.98,7373.98,347.61,0.26,10024.02
2010-06-01,59.8,32.33,7289.33,347.61,0.26,10024.02
2010-06-02,59.8,32.18,7195.71,360.2,0.26,10249.54
2010-06-03,60.8,32.23,7360.28,364.45,0.26,10255.28
2010-06-04,61,32.25,7344.59,348.48,0.26,9931.97
2010-06-07,59.2,32.42,7157.83,335.84,0.26,9816.49
2010-06-08,58.5,32.38,7151.99,334.58,0.26,9939.98
2010-06-09,58.6,32.4,7071.67,332.06,0.26,9899.25
2010-06-10,59.4,32.38,7181.77,344.69,0.26,10172.53
2010-06-11,60.5,32.4,7299.49,349.53,0.26,10211.07
2010-06-14,61.1,32.2,7387.4,351.97,0.26,10190.89
2010-06-15,61.4,32.25,7454.06,371.47,0.26,10404.77
2010-06-17,62.1,32.22,7515.78,372.39,0.26,10434.17
2010-06-18,62.7,32.13,7493.11,371.21,0.26,10450.64
2010-06-21,63.3,31.74,7635.56,368.04,0.26,10442.41
2010-06-22,62.6,32.08,7612.68,361.39,0.26,10293.52
2010-06-23,62.1,32.06,7582.15,362.88,0.26,10298.44
2010-06-24,62,32.03,7589.89,352.22,0.27,10152.8
2010-06-25,61.4,32.05,7474.71,352.09,0.32,10143.81
2010-06-28,61.7,32.04,7500.79,354.11,0.32,10138.52
2010-06-29,61,32.2,7423.57,337.67,0.32,9870.3
2010-06-30,60.6,32.27,7329.37,332.3,0.32,9774.02
2010-07-01,60,32.19,7254.06,333.11,0.32,9732.53
2010-07-02,60.3,32.21,7330.74,331.6,0.32,9686.48
2010-07-05,61.4,32.2,7439.96,331.15,0.32,9743.62
2010-07-06,59.9,32.18,7548.48,331.15,0.32,9743.62
2010-07-07,59.5,32.16,7534.46,347.87,0.32,10018.28
2010-07-08,60.4,32.06,7608.85,347.62,0.32,10138.99
2010-07-09,60.4,32.05,7647.25,351.36,0.32,10198.03
2010-07-12,59.8,32.09,7639.55,355.33,0.32,10216.27
2010-07-13,59.6,32.13,7597.42,362.83,0.33,10363.02
2010-07-14,60.4,32.13,7714.51,361.86,0.32,10366.72
2010-07-15,60.3,32.11,7704.52,361.09,0.32,10359.31
2010-07-16,59.9,32.09,7664.57,349.16,0.33,10097.9
2010-07-19,61.1,32.11,7649.83,357.94,0.32,10154.43
2010-07-20,61.5,32.12,7712.03,358.13,0.33,10229.96
2010-07-21,61.8,32.19,7701.29,351.13,0.33,10120.53
2010-07-22,62,32.15,7666.34,362.66,0.33,10322.3
2010-07-23,62.8,32.1,7761.22,364.53,0.33,10424.62
2010-07-26,62.6,32.06,7787.45,369.5,0.33,10525.43
2010-07-27,62.5,31.98,7748.01,366.08,0.33,10537.69
2010-07-28,63,32.01,7784.81,359.47,0.33,10497.88
2010-07-29,63,31.95,7798.99,352.52,0.33,10467.16
2010-07-30,62.4,31.95,7760.63,348.81,0.33,10465.94
2010-08-02,62.3,31.76,7911.68,354.94,0.32,10674.38
2010-08-03,62,31.75,7957.53,351.25,0.32,10636.38
2010-08-04,62,31.83,7972.66,354.71,0.33,10680.43
2010-08-05,61.9,31.76,7936.85,352.44,0.32,10674.98
2010-08-06,60.9,31.67,7963.3,351.75,0.33,10653.56
2010-08-09,60.7,31.65,8034.49,354.05,0.33,10698.75
2010-08-10,61,31.75,7976.74,344.74,0.33,10644.25
2010-08-11,61,31.83,7895.03,330.06,0.33,10378.83
2010-08-12,60.2,31.94,7829.79,325.75,0.33,10319.95
2010-08-13,60.1,31.91,7891.58,322.74,0.33,10303.15
2010-08-16,60.3,31.89,7941.22,324.26,0.33,10302.01
2010-08-17,59.8,31.93,7931.09,328.6,0.33,10405.85
2010-08-18,59.6,31.85,7924.1,332.1,0.33,10415.54
2010-08-19,60.1,31.92,7928.94,326.42,0.33,10271.21
2010-08-20,59.9,31.92,7927.31,327.88,0.33,10213.62
2010-08-23,60.1,31.91,7975.93,323.78,0.33,10174.41
